Date,BTC,ETH,SOL
2018-01-01,13657.2001953125,772.6409912109375,
2018-01-02,14982.099609375,884.4439697265625,
2018-01-03,15201.0,962.719970703125,
2018-01-04,15599.2001953125,980.9219970703125,
2018-01-05,17429.5,997.719970703125,
2018-01-06,17527.0,1041.6800537109375,
2018-01-07,16477.599609375,1153.1700439453125,
2018-01-08,15170.099609375,1148.530029296875,
2018-01-09,14595.400390625,1299.739990234375,
2018-01-10,14973.2998046875,1255.8199462890625,
2018-01-11,13405.7998046875,1154.9300537109375,
2018-01-12,13980.599609375,1273.199951171875,
2018-01-13,14360.2001953125,1396.4200439453125,
2018-01-14,13772.0,1366.77001953125,
2018-01-15,13819.7998046875,1291.9200439453125,
2018-01-16,11490.5,1053.68994140625,
2018-01-17,11188.599609375,1014.25,
2018-01-18,11474.900390625,1036.280029296875,
2018-01-19,11607.400390625,1039.0999755859375,
2018-01-20,12899.2001953125,1155.1500244140625,
2018-01-21,11600.099609375,1049.5799560546875,
2018-01-22,10931.400390625,1003.260009765625,
2018-01-23,10868.400390625,986.22900390625,
2018-01-24,11359.400390625,1058.780029296875,
2018-01-25,11259.400390625,1056.030029296875,
2018-01-26,11171.400390625,1055.1700439453125,
2018-01-27,11440.7001953125,1107.0699462890625,
2018-01-28,11786.2998046875,1246.010009765625,
2018-01-29,11296.400390625,1182.3599853515625,
2018-01-30,10106.2998046875,1071.1300048828125,
2018-01-31,10221.099609375,1118.31005859375,
2018-02-01,9170.5400390625,1036.7900390625,
2018-02-02,8830.75,915.7849731445312,
2018-02-03,9174.91015625,964.0189819335938,
2018-02-04,8277.009765625,834.6820068359375,
2018-02-05,6955.27001953125,697.9509887695312,
2018-02-06,7754.0,793.1220092773438,
2018-02-07,7621.2998046875,757.0679931640625,
2018-02-08,8265.58984375,817.8070068359375,
2018-02-09,8736.98046875,883.864990234375,
2018-02-10,8621.900390625,860.4149780273438,
2018-02-11,8129.97021484375,814.6599731445312,
2018-02-12,8926.5703125,868.7069702148438,
2018-02-13,8598.3095703125,845.2579956054688,
2018-02-14,9494.6298828125,923.5609741210938,
2018-02-15,10166.400390625,936.9760131835938,
2018-02-16,10233.900390625,944.2100219726562,
2018-02-17,11112.7001953125,974.114990234375,
2018-02-18,10551.7998046875,923.9210205078125,
2018-02-19,11225.2998046875,943.864990234375,
2018-02-20,11403.7001953125,895.3709716796875,
2018-02-21,10690.400390625,849.9710083007812,
2018-02-22,10005.0,812.844970703125,
2018-02-23,10301.099609375,864.1890258789062,
2018-02-24,9813.0703125,840.5150146484375,
2018-02-25,9664.73046875,844.8099975585938,
2018-02-26,10366.7001953125,869.3150024414062,
2018-02-27,10725.599609375,878.2650146484375,
2018-02-28,10397.900390625,855.198974609375,
2018-03-01,10951.0,872.2000122070312,
2018-03-02,11086.400390625,856.85302734375,
2018-03-03,11489.7001953125,857.2249755859375,
2018-03-04,11512.599609375,866.677978515625,
2018-03-05,11573.2998046875,853.6840209960938,
2018-03-06,10779.900390625,816.9509887695312,
2018-03-07,9965.5703125,752.8309936523438,
2018-03-08,9395.009765625,704.5960083007812,
2018-03-09,9337.5498046875,728.916015625,
2018-03-10,8866.0,686.8900146484375,
2018-03-11,9578.6298828125,723.3389892578125,
2018-03-12,9205.1201171875,699.8309936523438,
2018-03-13,9194.849609375,690.8270263671875,
2018-03-14,8269.8095703125,614.291015625,
